step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-1.4580,0.8361,0.1825,0.1563,-0.1791,-0.1832,slope,18.0,0,6.032
20,0.64,-1.6601,0.8156,0.1364,0.0628,-0.2652,0.1333,slope,18.0,0,5.877
30,0.96,-1.8162,0.7999,0.0972,-0.0495,-0.2290,0.6528,slope,18.0,0,5.759
40,1.28,-1.7935,0.7621,0.1024,-0.1940,-0.1292,1.4091,slope,18.0,0,5.800
50,1.60,-1.8707,0.8158,0.0928,-0.2162,-0.0164,1.9123,slope,18.0,0,5.706
60,1.92,-2.0109,0.9803,0.0785,-0.2369,-0.0058,2.2002,rough,14.0,0,5.496
70,2.24,-2.2658,1.2426,0.0853,-0.2571,-0.0512,2.3671,rough,14.0,0,5.136
80,2.56,-2.5792,1.4902,0.1188,-0.2708,-0.1221,2.5069,slope,18.0,0,4.737
90,2.88,-2.9946,1.7355,0.1246,-0.3212,0.0960,2.5808,rough,14.0,0,4.256
100,3.20,-3.3399,1.9074,0.0699,-0.3654,0.1160,2.6801,rough,14.0,0,3.876
110,3.52,-3.6512,2.0431,0.0311,-0.2993,0.0943,2.7843,rough,14.0,0,3.545
120,3.84,-3.8063,2.0876,0.0514,-0.2938,-0.2179,3.0099,rough,14.0,0,3.395
130,4.16,-3.9608,1.9911,0.0312,-0.2975,-0.2207,-2.6688,rough,14.0,0,3.338
140,4.48,-4.0987,1.7865,0.0567,-0.3995,-0.1829,-2.2404,rough,14.0,0,3.378
150,4.80,-4.2843,1.5071,0.1021,-0.3687,-0.1621,-2.1358,rough,14.0,0,3.462
160,5.12,-4.5534,1.1833,0.0986,-0.1848,0.0216,-2.3009,rough,14.0,0,3.567
170,5.44,-4.7689,0.8809,0.1200,-0.3724,0.0054,-2.4292,rough,14.0,0,3.722
180,5.76,-4.9315,0.7107,0.1823,-0.3550,-0.5499,-2.3745,rough,14.0,0,3.806
190,6.08,-5.1688,0.5343,0.3291,-0.1026,-0.5988,-2.4079,rough,14.0,0,3.882
200,6.40,-5.3938,0.3200,0.5306,-0.1002,-0.6165,-2.4948,rough,14.0,0,4.018
210,6.72,-5.6660,0.0888,0.6972,-0.3013,-0.5116,-2.6286,rough,14.0,0,4.180
220,7.04,-6.0857,-0.0961,0.7331,-0.2783,0.0631,-2.9877,slope,18.0,0,4.304
230,7.36,-6.3862,-0.1738,0.7497,-0.3160,-0.2246,-2.9588,rough,14.0,0,4.366
240,7.68,-6.6851,-0.2240,0.8164,-0.1722,-0.2855,2.9250,rough,14.0,0,4.420
250,8.00,-6.9207,-0.1252,0.8777,0.0095,-0.2305,2.5094,rough,14.0,0,4.339
260,8.32,-7.1205,0.1053,0.9143,0.1135,-0.0963,2.2694,rough,14.0,0,4.137
270,8.64,-7.3210,0.3151,0.9209,0.0339,-0.0822,2.0614,rough,14.0,0,3.968
280,8.96,-7.4832,0.5632,0.9134,-0.1540,-0.1492,1.8457,rough,14.0,0,3.766
290,9.28,-7.4922,0.8836,0.9747,0.0405,-0.2524,1.6467,rough,14.0,0,3.461
300,9.60,-7.4765,1.1609,1.0590,0.1158,-0.3188,1.5362,rough,14.0,0,3.192
310,9.92,-7.4458,1.4309,1.1361,0.2234,-0.3799,1.4884,rough,14.0,0,2.927
320,10.24,-7.4076,1.7256,1.2293,0.2578,-0.2836,1.4830,rough,14.0,0,2.637
330,10.56,-7.3560,2.0398,1.2935,0.2978,-0.1862,1.4450,rough,14.0,0,2.326
340,10.88,-7.2348,2.4058,1.3266,0.3048,-0.0641,1.2403,rough,14.0,0,1.941
350,11.20,-7.1022,2.7740,1.3065,0.1593,0.0275,1.1410,rough,14.0,0,1.551
360,11.52,-6.9310,3.1033,1.2870,0.1498,0.0760,1.0891,rough,14.0,0,1.181
370,11.84,-6.7539,3.4044,1.2689,0.2107,0.0776,1.0724,rough,14.0,1,7.738
380,12.16,-6.5414,3.7363,1.2202,0.2079,0.1419,0.9913,rough,14.0,1,7.464
390,12.48,-6.3510,4.0809,1.1807,0.0196,0.1414,0.9848,rough,14.0,1,7.221
400,12.80,-6.1632,4.4217,1.1412,-0.1261,0.0299,0.9580,rough,14.0,1,6.994
410,13.12,-5.9350,4.7475,1.1460,-0.1533,-0.0674,0.8976,rough,14.0,1,6.743
420,13.44,-5.6598,5.0608,1.1778,-0.0879,-0.0833,0.8436,rough,14.0,1,6.460
430,13.76,-5.4097,5.3616,1.2217,-0.1648,-0.1611,0.8061,rough,14.0,1,6.216
440,14.08,-5.1451,5.6906,1.2443,-0.3120,-0.1124,0.7905,rough,14.0,1,5.976
450,14.40,-4.8355,6.0252,1.2405,-0.3818,0.1544,0.6973,rough,14.0,1,5.714
460,14.72,-4.4609,6.3113,1.0693,-0.2777,0.4137,0.6033,rough,14.0,1,5.402
470,15.04,-4.1462,6.5488,0.9002,-0.2984,0.3882,0.5643,rough,14.0,1,5.159
480,15.36,-3.8087,6.7426,0.7510,-0.2642,0.4095,0.4061,rough,14.0,1,4.898
490,15.68,-3.4778,6.9304,0.5411,-0.5885,0.3746,-0.1235,rough,14.0,1,4.660
500,16.00,-3.1909,7.1460,0.2195,-0.8377,0.2557,-0.4862,rough,14.0,1,4.492
510,16.32,-2.7744,7.2791,-0.2597,-0.8572,0.3026,-0.6067,rough,14.0,1,4.195
520,16.64,-2.2941,7.3102,-0.5777,-0.5769,0.5665,-0.6118,rough,14.0,1,3.812
530,16.96,-1.9527,7.2270,-0.7349,-0.3396,0.0909,-0.5441,rough,14.0,1,3.489
540,17.28,-1.5689,7.0840,-0.7937,-0.5858,0.2087,-0.6201,rough,14.0,1,3.101
