step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-1.4186,0.8639,0.2143,0.1209,-0.1351,-0.0831,rough,14.0,0,6.050
20,0.64,-1.3902,0.8603,0.2018,0.1214,-0.1983,-0.0229,rough,14.0,0,6.075
30,0.96,-1.2463,0.8464,0.2267,0.0897,-0.1577,0.1758,rough,14.0,0,6.204
40,1.28,-1.0391,0.8784,0.2507,0.0507,-0.1431,0.5485,rough,14.0,0,6.363
50,1.60,-0.8373,0.9998,0.2819,0.0451,-0.0846,0.8415,rough,14.0,0,6.475
60,1.92,-0.6866,1.1387,0.2933,0.0702,-0.0677,1.0906,rough,14.0,0,6.541
70,2.24,-0.5876,1.3231,0.3112,0.0616,-0.1088,1.2940,rough,14.0,0,6.545
80,2.56,-0.5418,1.6242,0.3402,-0.0313,-0.0647,1.5707,rough,14.0,0,6.461
90,2.88,-0.5571,1.9250,0.3707,-0.0650,-0.1283,1.7383,rough,14.0,0,6.333
100,3.20,-0.6362,2.2198,0.3859,-0.1394,-0.0537,1.8125,rough,14.0,0,6.159
110,3.52,-0.7224,2.5443,0.4053,-0.0733,-0.1133,1.9818,rough,14.0,0,5.980
120,3.84,-0.8479,2.8745,0.4314,0.0352,-0.1867,2.1236,rough,14.0,0,5.775
130,4.16,-1.0409,3.1971,0.4927,0.0717,-0.2148,2.2534,rough,14.0,0,5.521
140,4.48,-1.2851,3.5210,0.5276,0.1939,-0.0717,2.3746,rough,14.0,0,5.229
150,4.80,-1.5719,3.7968,0.5654,0.1958,-0.0863,2.4809,rough,14.0,0,4.915
160,5.12,-1.8546,4.0408,0.5969,0.2541,-0.1596,2.5316,rough,14.0,0,4.619
170,5.44,-2.1499,4.2072,0.6687,0.0709,-0.3209,2.5240,rough,14.0,0,4.322
180,5.76,-2.4290,4.4062,0.7724,-0.0121,-0.2056,2.5440,rough,14.0,0,4.048
190,6.08,-2.7312,4.5775,0.8907,-0.0634,-0.3285,2.6692,rough,14.0,0,3.760
200,6.40,-3.1097,4.7968,0.9326,0.0908,0.1043,2.7112,rough,14.0,0,3.416
210,6.72,-3.3936,4.9466,0.9547,0.1374,-0.2443,2.7562,rough,14.0,0,3.169
220,7.04,-3.7171,5.1024,1.0205,0.2003,-0.2718,2.8122,rough,14.0,0,2.901
230,7.36,-3.9801,5.2010,1.1385,0.2000,-0.5431,2.7751,rough,14.0,0,2.688
240,7.68,-4.2080,5.3160,1.2395,0.1107,-0.3830,2.8496,rough,14.0,0,2.528
250,8.00,-4.5326,5.4237,1.3236,0.0597,-0.1669,2.9243,rough,14.0,0,2.297
260,8.32,-4.9629,5.4901,1.3159,0.1136,0.2299,3.0958,rough,14.0,0,1.991
270,8.64,-5.3814,5.5017,1.2096,0.1440,0.1927,-3.0197,rough,14.0,0,1.705
280,8.96,-5.7770,5.4427,1.1472,0.1119,0.1435,-2.9588,rough,14.0,0,1.431
290,9.28,-6.1790,5.3296,1.0913,-0.0116,0.1879,-2.8395,rough,14.0,0,1.176
300,9.60,-6.4990,5.2215,1.0635,0.0421,0.0289,-2.6083,rough,14.0,0,1.031
310,9.92,-6.7024,5.0761,1.1015,0.0087,-0.3395,-2.3802,rough,14.0,0,0.915
320,10.24,-6.8190,4.8302,1.1633,-0.2463,-0.3095,-2.1010,rough,14.0,1,7.623
330,10.56,-6.8742,4.6407,1.1984,-0.3392,-0.2154,-1.8423,rough,14.0,1,7.687
340,10.88,-6.9128,4.4995,1.2196,-0.3424,-0.1978,-1.6841,rough,14.0,1,7.735
350,11.20,-6.8801,4.2690,1.2402,-0.2748,-0.1275,-1.3714,rough,14.0,1,7.723
360,11.52,-6.7843,4.0101,1.2448,-0.1938,-0.0766,-1.1745,rough,14.0,1,7.660
370,11.84,-6.6324,3.7713,1.2348,-0.2571,0.0662,-1.0353,rough,14.0,1,7.547
380,12.16,-6.4274,3.4881,1.1781,-0.2020,0.3088,-0.9030,rough,14.0,1,7.401
390,12.48,-6.1598,3.2003,1.0227,-0.0609,0.5220,-0.7778,rough,14.0,1,7.210
400,12.80,-5.8757,2.9639,0.8307,0.0887,0.5678,-0.6031,rough,14.0,1,7.004
410,13.12,-5.6157,2.7922,0.7004,0.1629,0.1800,-0.4980,rough,14.0,1,6.812
420,13.44,-5.2667,2.6304,0.6413,0.1606,0.1900,-0.3427,rough,14.0,1,6.544
430,13.76,-4.8776,2.5135,0.5653,0.0928,0.1738,-0.2170,rough,14.0,1,6.232
440,14.08,-4.3842,2.4225,0.3387,0.1742,0.6979,-0.0996,rough,14.0,1,5.827
450,14.40,-4.0167,2.2578,0.1282,0.2222,0.3431,-0.2606,rough,14.0,1,5.584
460,14.72,-3.6997,2.0809,0.0692,0.2469,0.1413,-0.0519,rough,14.0,1,5.409
470,15.04,-3.4047,2.0264,0.0869,0.2728,-0.2574,0.0618,rough,14.0,1,5.198
480,15.36,-3.0328,2.0529,0.2012,0.2433,-0.3358,0.1445,rough,14.0,1,4.886
490,15.68,-2.6085,2.1167,0.2997,0.2849,-0.1545,0.2621,rough,14.0,1,4.518
500,16.00,-2.2226,2.2358,0.3767,0.2283,-0.1953,0.3306,rough,14.0,1,4.152
510,16.32,-1.8374,2.3774,0.4559,0.2282,-0.1652,0.3875,rough,14.0,1,3.778
520,16.64,-1.4132,2.5599,0.4598,0.2639,0.0103,0.5111,rough,14.0,1,3.356
530,16.96,-1.0280,2.7930,0.4465,0.2015,0.0562,0.5593,rough,14.0,1,2.930
540,17.28,-0.6734,3.0392,0.4224,0.1292,0.0528,0.6027,rough,14.0,1,2.519
550,17.60,-0.2993,3.3336,0.3470,0.0589,0.3149,0.6770,rough,14.0,1,2.066
560,17.92,0.0786,3.6681,0.0630,0.0821,0.7159,0.8213,rough,14.0,1,1.588
570,18.24,0.3254,4.0242,-0.2552,-0.0443,0.6930,0.9467,rough,14.0,1,1.160
580,18.56,0.5052,4.3288,-0.4997,-0.0412,0.4976,1.0431,rough,14.0,1,0.810
590,18.88,0.6757,4.6563,-0.6764,-0.0379,0.5095,0.9708,rough,14.0,2,9.361
600,19.20,0.8605,4.8957,-0.8412,-0.0403,0.5739,0.7404,rough,14.0,2,9.345
610,19.52,1.1028,5.1125,-1.0728,-0.2099,0.6500,0.4921,rough,14.0,2,9.281
620,19.84,1.3771,5.2692,-1.2372,-0.3205,0.5176,0.3564,rough,14.0,2,9.164
630,20.16,1.6049,5.3656,-1.3208,-0.3717,0.0899,0.2626,rough,14.0,2,9.052
640,20.48,1.8337,5.4287,-1.3140,-0.2632,-0.2635,0.2638,rough,14.0,2,8.923
650,20.80,2.0587,5.5033,-1.2376,-0.2396,-0.4128,0.2655,rough,14.0,2,8.808
660,21.12,2.3803,5.6000,-1.1418,-0.2388,-0.1317,0.1630,rough,14.0,2,8.646
670,21.44,2.7115,5.6862,-1.1132,-0.3103,-0.1085,0.0570,rough,14.0,2,8.480
680,21.76,3.0954,5.6901,-1.0883,-0.2991,-0.0769,-0.1223,rough,14.0,2,8.229
690,22.08,3.4388,5.6060,-1.0552,-0.0750,-0.2668,-0.2120,rough,14.0,2,7.944
