step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-1.3631,0.8830,0.1733,-0.0001,0.0007,0.0082,flat,18.0,0,6.086
20,0.64,-1.3317,0.8815,0.1796,0.0009,-0.0001,0.4548,flat,18.0,0,6.113
30,0.96,-1.2869,0.9180,0.1795,0.0003,-0.0009,1.5848,flat,18.0,0,6.131
40,1.28,-1.3258,1.0653,0.1770,0.0018,0.0161,2.5374,flat,18.0,0,6.020
50,1.60,-1.6193,1.1983,0.1823,-0.0085,-0.0168,-2.8835,flat,18.0,0,5.701
60,1.92,-1.8953,1.1098,0.1968,-0.0271,-0.0625,-2.8201,slope,18.0,0,5.517
70,2.24,-2.1881,1.0025,0.1977,-0.0709,-0.0114,-2.9637,rough,14.0,0,5.340
80,2.56,-2.4835,0.9389,0.1937,-0.0537,-0.0040,3.0351,rough,14.0,0,5.146
90,2.88,-2.8096,0.9826,0.2004,-0.0692,-0.0235,2.7168,rough,14.0,0,4.868
100,3.20,-3.1629,1.1674,0.1943,-0.0314,0.0417,2.5648,rough,14.0,0,4.482
110,3.52,-3.5201,1.4312,0.1823,-0.0128,0.0008,2.4264,flat,18.0,0,4.041
120,3.84,-3.9262,1.8095,0.1798,-0.0022,0.0026,2.3707,flat,18.0,0,3.486
130,4.16,-4.3233,2.2023,0.1810,-0.0043,-0.0041,2.3419,flat,18.0,0,2.927
140,4.48,-4.7119,2.5966,0.1969,-0.0305,-0.0362,2.3242,rough,14.0,0,2.374
150,4.80,-5.0361,2.9386,0.1975,-0.0640,0.0406,2.3089,rough,14.0,0,1.905
160,5.12,-5.3087,3.2477,0.1863,-0.0213,0.0191,2.3095,rough,14.0,0,1.497
170,5.44,-5.6033,3.5718,0.1738,-0.0179,-0.0217,2.3198,flat,18.0,0,1.066
180,5.76,-5.9005,3.8872,0.1839,0.0017,-0.0309,2.3484,flat,18.0,1,6.806
190,6.08,-6.1132,4.1223,0.2005,-0.0266,-0.0588,2.0745,flat,18.0,1,6.979
200,6.40,-6.2327,4.3780,0.2119,-0.0079,-0.0538,1.7214,slope,18.0,1,7.068
210,6.72,-6.2818,4.6806,0.2273,-0.0045,-0.0459,1.5272,flat,18.0,1,7.093
220,7.04,-6.2689,5.0357,0.2244,-0.0606,0.0028,1.1525,transition,15.0,1,7.069
230,7.36,-6.1055,5.3392,0.2094,-0.0341,0.0528,0.8713,slope,18.0,1,6.910
240,7.68,-5.9089,5.5599,0.2064,-0.0829,0.0067,0.5885,rough,14.0,1,6.726
250,8.00,-5.7252,5.6845,0.2098,-0.0224,-0.1619,0.3629,slope,18.0,1,6.553
260,8.32,-5.3495,5.7311,0.2751,0.0982,-0.1812,-0.0174,slope,18.0,1,6.183
270,8.64,-4.8420,5.6502,0.3176,0.2339,-0.0930,-0.1551,slope,18.0,1,5.670
280,8.96,-4.2927,5.5255,0.3360,0.3100,0.0141,-0.2140,rough,14.0,1,5.112
290,9.28,-3.8565,5.4167,0.3386,0.2807,-0.0216,-0.2382,rough,14.0,1,4.668
300,9.60,-3.4228,5.3249,0.3367,0.2135,-0.0274,-0.2352,rough,14.0,1,4.230
310,9.92,-2.9898,5.2276,0.3386,0.1420,-0.0035,-0.2515,rough,14.0,1,3.792
320,10.24,-2.5579,5.1114,0.3272,0.1023,0.0528,-0.2799,rough,14.0,1,3.358
330,10.56,-2.1194,4.9740,0.2915,0.1025,0.1179,-0.3091,slope,18.0,1,2.921
340,10.88,-1.6012,4.8123,0.2240,0.1016,0.1175,-0.2840,slope,18.0,1,2.416
350,11.20,-1.1027,4.6868,0.1871,0.0207,0.0300,-0.2553,slope,18.0,1,1.943
360,11.52,-0.6215,4.5766,0.1801,0.0018,-0.0006,-0.1323,flat,18.0,1,1.509
370,11.84,-0.0940,4.5233,0.1795,0.0016,0.0002,0.0588,transition,15.0,1,1.055
380,12.16,0.3391,4.5600,0.1797,-0.0001,-0.0001,0.0019,slope,18.0,2,9.590
390,12.48,0.7274,4.5407,0.1806,-0.0059,-0.0128,-0.3777,transition,15.0,2,9.254
400,12.80,1.0986,4.3802,0.1809,0.0034,0.0054,-0.4313,flat,18.0,2,8.856
410,13.12,1.5411,4.1733,0.1785,-0.0070,-0.0003,-0.4503,flat,18.0,2,8.373
420,13.44,2.0136,3.9419,0.1797,-0.0007,0.0000,-0.4873,flat,18.0,2,7.853
