step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9625,-0.7651,0.3564,-0.1798,-0.1459,0.3043,rough,14.0,0,5.771
20,0.64,1.2081,-0.6872,0.4168,-0.1303,-0.2614,0.2815,rough,14.0,0,5.640
30,0.96,1.5062,-0.5925,0.5023,-0.1192,-0.3151,0.1729,rough,14.0,0,5.492
40,1.28,1.8065,-0.5417,0.6112,-0.0825,-0.3953,0.0772,rough,14.0,0,5.324
50,1.60,2.0807,-0.5153,0.7264,-0.0804,-0.4015,0.0781,rough,14.0,0,5.167
60,1.92,2.3399,-0.4915,0.8454,-0.0816,-0.4507,0.0855,rough,14.0,0,5.026
70,2.24,2.5830,-0.4603,0.9630,-0.0991,-0.4489,0.1295,rough,14.0,0,4.910
80,2.56,2.7802,-0.4100,1.0585,-0.1419,-0.4491,0.2420,rough,14.0,0,4.845
90,2.88,2.9713,-0.3382,1.1515,-0.1493,-0.4482,0.2639,rough,14.0,0,4.809
100,3.20,3.1692,-0.2550,1.2481,-0.1366,-0.4459,0.2616,rough,14.0,0,4.788
110,3.52,3.3672,-0.1618,1.3416,-0.1156,-0.4336,0.2411,rough,14.0,0,4.786
120,3.84,3.5628,-0.0757,1.4334,-0.0992,-0.4348,0.2158,rough,14.0,0,4.789
130,4.16,3.7506,-0.0072,1.5188,-0.0899,-0.4168,0.1997,rough,14.0,0,4.786
140,4.48,3.9378,0.0514,1.5997,-0.0785,-0.4089,0.1647,rough,14.0,0,4.783
150,4.80,4.1419,0.0881,1.6909,-0.0482,-0.4073,0.1088,rough,14.0,0,4.763
160,5.12,4.3131,0.1216,1.7624,-0.0634,-0.3837,0.1518,rough,14.0,0,4.755
170,5.44,4.4906,0.1617,1.8316,-0.0493,-0.3772,0.1135,rough,14.0,0,4.759
180,5.76,4.6776,0.1880,1.9067,-0.0314,-0.3714,0.0765,rough,14.0,0,4.755
190,6.08,4.8346,0.2147,1.9666,-0.0465,-0.3542,0.1210,rough,14.0,0,4.763
200,6.40,4.9996,0.2505,2.0257,-0.0389,-0.3496,0.0962,rough,14.0,0,4.783
210,6.72,5.1741,0.2720,2.0904,-0.0236,-0.3463,0.0616,rough,14.0,0,4.795
220,7.04,5.3244,0.2933,2.1439,-0.0377,-0.3356,0.1058,rough,14.0,0,4.814
230,7.36,5.4713,0.3192,2.1951,-0.0468,-0.3307,0.1350,rough,14.0,0,4.841
240,7.68,5.6365,0.3535,2.2518,-0.0322,-0.3300,0.0962,rough,14.0,0,4.883
250,8.00,5.7969,0.3852,2.3061,-0.0281,-0.3245,0.0852,rough,14.0,0,4.926
260,8.32,5.9446,0.4182,2.3558,-0.0341,-0.3198,0.1083,rough,14.0,0,4.975
270,8.64,6.0909,0.4524,2.4044,-0.0372,-0.3190,0.1211,rough,14.0,0,5.028
280,8.96,6.2505,0.4831,2.4572,-0.0239,-0.3182,0.0810,rough,14.0,0,5.085
290,9.28,6.4137,0.5004,2.5110,-0.0117,-0.3165,0.0438,rough,14.0,0,5.133
300,9.60,6.5515,0.5176,2.5561,-0.0250,-0.3157,0.0888,rough,14.0,0,5.180
310,9.92,6.6841,0.5384,2.5995,-0.0363,-0.3142,0.1278,rough,14.0,0,5.233
320,10.24,6.8443,0.5631,2.6519,-0.0157,-0.3155,0.0641,rough,14.0,0,5.300
